Value,Description,Reference,Notes
oic.r.colour.rgb,Colour RGB resource. This resource specifies the actual colour in the RGB space.,[OIC_Resource_Type_Specification_v1.1.0 section 6.7],
oic.r.colour.saturation,Colour Saturation resource. This resource describes a Colour saturation value.,[OIC_Resource_Type_Specification_v1.1.0 section 6.32],
oic.r.door,Door resource. This resource describes the open state of a door.,[OIC_Resource_Type_Specification_v1.1.0 section 6.9],
oic.r.energy.battery,Battery resource.  This resource represents the charge state of a battery.,[OIC_Resource_Type_Specification_v1.1.0 section 6.3],
oic.r.energy.consumption,Energy Consumption resource. This resource describes the energy consumed by the device since power up  and the instantaneous power draw of the device at the time the resource was queried.,[OIC_Resource_Type_Specification_v1.1.0 section 6.10],
oic.r.energy.drlc,Demand Response Load Control (DRLC) resource. This resource describes any to be applied or currently being applied DRLC signal.,[OIC_Resource_Type_Specification_v1.1.0 section 6.34],
oic.r.energy.overload,Energy Overload/Circuit Breaker resource. This resource describes whether an energy overload detector/circuit breaker has been tripped.,[OIC_Resource_Type_Specification_v1.1.0 section 6.35],
oic.r.energy.usage,Energy Usage resource. This resource describes a cumulative time-based energy usage query.,[OIC_Resource_Type_Specification_v1.1.0 section 6.11],
oic.r.height,Height resource. This resource describes the properties associated with height of an object's physical size.,[OIC_Resource_Type_Specification_v1.1.0 section 6.61],
oic.r.humidity,Humidity resource. This resource describes a sensed or desired humidity.,[OIC_Resource_Type_Specification_v1.1.0 section 6.12],
oic.r.icemaker,Ice Maker resource. This resource describes the operational state of an ice maker.,[OIC_Resource_Type_Specification_v1.1.0 section 6.13],
oic.r.light.brightness,Brightness resource. This resource describes the brightness of a light or lamp.,[OIC_Resource_Type_Specification_v1.1.0 section 6.5],
oic.r.light.dimming,Dimming resource. This resource describes a dimming function.,[OIC_Resource_Type_Specification_v1.1.0 section 6.8],
oic.r.light.ramptime,Ramp Time resource. This resource describes the Ramp Time of a dimming function.,[OIC_Resource_Type_Specification_v1.1.0 section 6.19],
oic.r.lock.code,Lock Code resource. This resource describes a lock code.,[OIC_Resource_Type_Specification_v1.1.0 section 6.15],
oic.r.lock.status,Lock resource. This resource describes whether a lock is locked or unlocked.,[OIC_Resource_Type_Specification_v1.1.0 section 6.14],
oic.r.media,Media resource. This resource specifies the media that a server supports.,[OIC_Resource_Type_Specification_v1.1.0 section 6.41],
oic.r.media.input,Media Source Input resource.  This resource provides the list of input media sources available on the device.,[OIC_Resource_Type_Specification_v1.1.0 section 6.42],
oic.r.media.output,Media Source Output resource. This resource provides the list of output media sources available on the device.,[OIC_Resource_Type_Specification_v1.1.0 section 6.43],
oic.r.mode,Mode resource. This resource describes the modes of operation that a device can provide.,[OIC_Resource_Type_Specification_v1.1.0 section 6.16],
oic.r.movement.linear,Movement resource. This resource describes linear movement.,[OIC_Resource_Type_Specification_v1.1.0 section 6.54],
oic.r.nightmode,Night Mode resource. This resource describes whether a night mode feature is on or off.,[OIC_Resource_Type_Specification_v1.1.0 section 6.45],
oic.r.openlevel,"Open Level resource. This resource describes how open or ajar an entity such as a window, door, blind or shutter is.",[OIC_Resource_Type_Specification_v1.1.0 section 6.17],
oic.r.operational.state,Operational State resource. This resource describes the operational and job states on a device.,[OIC_Resource_Type_Specification_v1.1.0 section 6.18],
oic.r.ptz,Pan Tilt Zoom Movement resource. This resource specifies the pan tilt and zoom capabilities of a device.,[OIC_Resource_Type_Specification_v1.1.0 section 6.47],
oic.r.refrigeration,Refrigeration resource. This resource describes a refrigeration function.,[OIC_Resource_Type_Specification_v1.1.0 section 6.20],
oic.r.sensor,Generic Sensor resource. This resource describes whether some value or property or entity has been sensed or not.,[OIC_Resource_Type_Specification_v1.1.0 section 6.36],
oic.r.sensor.acceleration,Acceleration Sensor resource. This resource provides a measure of proper acceleration (g force).,[OIC_Resource_Type_Specification_v1.1.0 section 6.53],
oic.r.sensor.activity.count,Activity Count resource. This resource specifies an activity count.,[OIC_Resource_Type_Specification_v1.1.0 section 6.23],
oic.r.sensor.atmosphericpressure,Atmospheric Pressure resource. This resource provides a measurement of Mean Sea Level Pressure experienced at the measuring point expressed in millibars.,[OIC_Resource_Type_Specification_v1.1.0 section 6.24],
oic.r.sensor.carbondioxide,Carbon Dioxide Sensor resource. This resource describes whether carbon dioxide has been sensed or not.,[OIC_Resource_Type_Specification_v1.1.0 section 6.29],
oic.r.sensor.carbonmonoxide,Carbon Monoxide Sensor resource. This resource describes whether carbon monoxide has been sensed or not.,[OIC_Resource_Type_Specification_v1.1.0 section 6.30],
oic.r.sensor.contact,Contact Sensor resource. This resource describes whether a contact sensor has been tripped or not.,[OIC_Resource_Type_Specification_v1.1.0 section 6.33],
oic.r.sensor.geolocation,Geolocation Sensor resource. This resource describes the properties associated with the current geolocation coordinate.,[OIC_Resource_Type_Specification_v1.1.0 section 6.60],
oic.r.sensor.glassbreak,Glass Break Sensor resource. This resource describes a glass break sensor.,[OIC_Resource_Type_Specification_v1.1.0 section 6.37],
oic.r.sensor.heart.zone,Heart Rate Zone Sensor resource. This resource describes a measured heart rate by the current Zone using the Zoladz method.,[OIC_Resource_Type_Specification_v1.1.0 section 6.38],
oic.r.sensor.illuminance,Illuminance Sensor resource. This resource describes an illuminance sensor.,[OIC_Resource_Type_Specification_v1.1.0 section 6.39],
oic.r.sensor.magneticfielddirection,Magnetic Field Direction resource. This resource describes the direction of the Earth's magnetic field at the observer's current point in space.,[OIC_Resource_Type_Specification_v1.1.0 section 6.40],
oic.r.sensor.motion,Motion Sensor resource. This resource describes whether motion has been sensed or not.,[OIC_Resource_Type_Specification_v1.1.0 section 6.43],
oic.r.sensor.presence,Presence Sensor resource. This resource describes whether presence has been sensed or not.,[OIC_Resource_Type_Specification_v1.1.0 section 6.45],
oic.r.sensor.radiation.uv,UV Radiation resource. This resource describes an ultraviolet radiation measurement.,[OIC_Resource_Type_Specification_v1.1.0 section 6.51],
oic.r.sensor.sleep,Sleep Sensor resource. This resource describes whether human sleep has been sensed or not.,[OIC_Resource_Type_Specification_v1.1.0 section 6.55],
oic.r.sensor.smoke,Smoke Sensor resource. This resource describes whether smoke has been sensed or not.,[OIC_Resource_Type_Specification_v1.1.0 section 6.56],
oic.r.sensor.threeaxis,Three Axis Sensor resource. This resource provides a representation of the measurement from a three-axis sensor.,[OIC_Resource_Type_Specification_v1.1.0 section 6.57],
oic.r.sensor.touch,Touch Sensor resource. This resource describes whether touch has been sensed or not.,[OIC_Resource_Type_Specification_v1.1.0 section 6.50],
oic.r.sensor.water,Water Sensor resource. This resource describes whether water has been sensed or not.,[OIC_Resource_Type_Specification_v1.1.0 section 6.52],
oic.r.signalstrength,Signal Strength resource. This resource describes the strength of a signal by means of Link Quality Indicator and Received Signal Strength Indicator.,[OIC_Resource_Type_Specification_v1.1.0 section 6.48],
oic.r.speech.tts,Speech Synthesis resource. This resource is capable of rendering speech and allows a client to provide an SSML document with text to render.,[OIC_Resource_Type_Specification_v1.1.0 section 6.49],
oic.r.switch.binary,Binary switch resource.  This resource describes a binary switch (on/off).,[OIC_Resource_Type_Specification_v1.1.0 section 6.4],
oic.r.temperature,Temperature resource. This resource describes a sensed or actuated Temperature value.,[OIC_Resource_Type_Specification_v1.1.0 section 6.21],
oic.r.time.period,Time Period resource. This resource describes the time period over which any additionally provided information is derived or bounded.,[OIC_Resource_Type_Specification_v1.1.0 section 6.22],
oic.r.weight,Weight resource. This resource describes the properties associated with weight of an object.,[OIC_Resource_Type_Specification_v1.1.0 section 6.62],
