Subprotocol Identifier,Subprotocol Common Name,Subprotocol Definition,Reference
v10.pcp.sap.com,Push Channel Protocol,[https://scn.sap.com/community/abap/connectivity/blog/2015/07/27/specification-of-the-push-channel-protocol-pcp],[Masoud_Aghadavoodi_Jolfaei]
msrp,WebSocket Transport for MSRP (Message Session Relay Protocol),[RFC7977],[RFC7977]
v1.saltyrtc.org,SaltyRTC 1.0,[https://github.com/saltyrtc/saltyrtc-meta/blob/master/Protocol.md],[Lennart_Grahl]
TLCP-2.0.0.lightstreamer.com,TLCP (Text Lightstreamer Client Protocol),[http://www.lightstreamer.com/tlcp-2.0.0],[Alessandro_Alinone]
bfcp,WebSocket Transport for BFCP (Binary Floor Control Protocol),[RFC-ietf-bfcpbis-bfcp-websocket-15],[RFC-ietf-bfcpbis-bfcp-websocket-15]
sldp.softvelum.com,Softvelum Low Delay Protocol,"SLDP is a low latency live streaming protocol for delivering media from
        servers to MSE-based browsers and WebSocket-enabled applications.",[Yury_Udovichenko]
opcua+uacp,OPC UA Connection Protocol,[https://opcfoundation.org/developer-tools/specifications-unified-architecture/part-6-mappings/],[OPC_Foundation]
opcua+uajson,OPC UA JSON Encoding,[https://opcfoundation.org/developer-tools/specifications-unified-architecture/part-6-mappings/],[OPC_Foundation]
v1.swindon-lattice+json,Swindon Web Server Protocol (JSON encoding),[https://swindon-rs.github.io/swindon/swindon-lattice/],[Paul_Colomiets]
v1.usp,USP (Broadband Forum User Services Platform),[https://usp.technology/specification/mtp/websocket],[Barbara_Stark]
mles-websocket,mles-websocket,[https://github.com/jq-rs/mles-rs/blob/master/README.md],[Juhamatti_Kuusisaari]
coap,Constrained Application Protocol (CoAP),[RFC8323],[RFC8323]
TLCP-2.1.0.lightstreamer.com,TLCP (Text Lightstreamer Client Protocol),[http://www.lightstreamer.com/tlcp-2.1.0],[Dario_Crivelli]
sqlnet.oracle.com,sqlnet,"This protocol is used for communication between Oracle 
        database client and database server, and its usage as subprotocol 
        of websocket is primarly geared towards cloud deployments. sqlnet 
        supports bi-directional data transfer and is full duplex in nature.",[Feroz_Alam_Khan]
oneM2M.R2.0.json,oneM2M R2.0 JSON,[http://ftp.onem2m.org/Work%20Programme/WI-0040/TS-0020-WebSocket_Protocol_Binding-V2_2_0.ZIP],[Miguel_Angel_Reina_Ortega]
oneM2M.R2.0.xml,oneM2M R2.0 XML,[http://ftp.onem2m.org/Work%20Programme/WI-0040/TS-0020-WebSocket_Protocol_Binding-V2_2_0.ZIP],[Miguel_Angel_Reina_Ortega]
oneM2M.R2.0.cbor,oneM2M R2.0 CBOR,[http://ftp.onem2m.org/Work%20Programme/WI-0040/TS-0020-WebSocket_Protocol_Binding-V2_2_0.ZIP],[Miguel_Angel_Reina_Ortega]
transit,Transit,[https://github.com/Randy-Buchholz/Transit],[Randy_Buchholz]
2016.serverpush.dash.mpeg.org,MPEG-DASH-ServerPush-23009-6-2017,[https://www.iso.org/standard/71072.html],[Imed_Bouazizi]
2018.mmt.mpeg.org,MPEG-MMT-23008-1-2018,[https://www.iso.org/standard/76386.html],[Imed_Bouazizi]
CLUE,CLUE,[RFC-ietf-clue-datachannel-18],[RFC-ietf-clue-datachannel-18]
webrtc.softvelum.com,Softvelum WebSocket signaling protocol,"WebRTC live streaming requires WebSocket-based signaling protocol for 
        every specific implementation. Softvelum products will use this subprotocol for 
        signaling.",[Yury_Udovichenko]
cobra.v2.json,Cobra Real Time Messaging Protocol,[https://machinezone.github.io/cobra/api/],[Benjamin_Sergeant]
drp,Declarative Resource Protocol,[https://github.com/adhdtech/DRP],[Pete_Brown]
